-- ============================================================
-- PIYÈS — Photographie de la base de données 
-- (passée 080826, donc de legeres modifications peuvent avoir eu lieu depuis  )
-- ============================================================

-- Liste des tables et types

| table_name             | column_name             | data_type                   | is_nullable |
| Contact                | phone                   | text                        | YES         | null               | text        | null                     | null              | null          |
| Contact                | type                    | text                        | NO          | 'individual'::text | text        | null                     | null              | null          |
| Contact                | createdAt               | timestamp without time zone | NO          | CURRENT_TIMESTAMP  | timestamp   | null                     | null              | null          |
| Contact                | email                   | text                        | YES         | null               | text        | null                     | null              | null          |
| Contact                | randomKey               | text                        | YES         | null               | text        | null                     | null              | null          |
| Contact                | lastTransactionDate     | text                        | YES         | null               | text        | null                     | null              | null          |
| Contact                | avatarUrl               | text                        | YES         | null               | text        | null                     | null              | null          |
| Contact                | updatedAt               | timestamp without time zone | YES         | null               | timestamp   | null                     | null              | null          |
| Conversation           | id                      | text                        | NO          | null               | text        | null                     | null              | null          |
| Conversation           | adId                    | text                        | NO          | null               | text        | null                     | null              | null          |
| Conversation           | role                    | text                        | NO          | null               | text        | null                     | null              | null          |
| Conversation           | updatedAt               | timestamp without time zone | NO          | null               | timestamp   | null                     | null              | null          |
| Friendship             | id                      | text                        | NO          | null               | text        | null                     | null              | null          |
| Friendship             | requesterId             | text                        | NO          | null               | text        | null                     | null              | null          |
| Friendship             | receiverId              | text                        | NO          | null               | text        | null                     | null              | null          |
| Friendship             | status                  | text                        | NO          | 'pending'::text    | text        | null                     | null              | null          |
| Friendship             | createdAt               | timestamp without time zone | NO          | now()              | timestamp   | null                     | null              | null          |
| Friendship             | updatedAt               | timestamp without time zone | NO          | now()              | timestamp   | null                     | null              | null          |
| InternationalTransfer  | id                      | text                        | NO          | null               | text        | null                     | null              | null          |
| InternationalTransfer  | senderId                | text                        | NO          | null               | text        | null                     | null              | null          |
| InternationalTransfer  | recipientName           | text                        | NO          | null               | text        | null                     | null              | null          |
| InternationalTransfer  | country                 | text                        | NO          | null               | text        | null                     | null              | null          |
| InternationalTransfer  | method                  | text                        | NO          | null               | text        | null                     | null              | null          |
| InternationalTransfer  | methodInfo              | text                        | YES         | null               | text        | null                     | null              | null          |
| InternationalTransfer  | amountHTG               | integer                     | NO          | null               | int4        | null                     | 32                | 0             |
| InternationalTransfer  | currency                | text                        | NO          | 'USD'::text        | text        | null                     | null              | null          |
| InternationalTransfer  | amountForeign           | integer                     | NO          | 0                  | int4        | null                     | 32                | 0             |
| InternationalTransfer  | fees                    | integer                     | NO          | 0                  | int4        | null                     | 32                | 0             |
